1 1:0 2:9 3:37 4:0.721169 5:4.40942 6:97.4804 7:-1 8:-1 
1 1:1 2:8 3:45 4:-0.727936 5:3.80997 6:93.6704 7:-1 8:-1 
1 1:1 2:1 3:46 4:1.3522 5:1.69937 6:91.971 7:-1 8:-1 
1 1:1 2:4 3:42 4:-1.00191 5:0.364243 6:92.3353 7:-1 8:-1 
1 1:1 2:0 3:42 4:-1.30882 5:0.0778809 6:92.4132 7:-1 8:-1 
1 1:1 2:11 3:31 4:0.959305 5:0.992798 6:93.406 7:-1 8:-1 
1 1:1 2:2 3:29 4:-0.33065 5:0.475761 6:92.9302 7:-1 8:-1 
1 1:1 2:12 3:17 4:0.365616 5:0.0135269 6:92.9167 7:-1 8:-1 
1 1:1 2:4 3:13 4:1.19157 5:0.635574 6:92.2811 7:-1 8:-1 
1 1:1 2:8 3:5 4:-0.375038 5:0.780678 6:91.5004 7:-1 8:-1 
1 1:0 2:3 3:8 4:-0.518379 5:1.04922 6:90.4512 7:-1 8:-1 
1 1:1.41421 2:0 3:8 4:3.25832 5:1.37077 6:89.0804 7:-1 8:-1 
1 1:0 2:4 3:12 4:0.436363 5:1.42316 6:87.6573 7:-1 8:-1 
1 1:1.41421 2:14 3:26 4:4.26564 5:0.898674 6:86.7586 7:-1 8:-1 
1 1:0 2:13 3:39 4:0.937927 5:0.457741 6:86.3008 7:-1 8:-1 
1 1:1.41421 2:10 3:29 4:5.96722 5:1.80233 6:88.1032 7:-1 8:-1 
1 1:0 2:7 3:36 4:0.841225 5:0.1073 6:88.2105 7:-1 8:-1 
1 1:1.41421 2:15 3:21 4:18.0726 5:1.97342 6:90.1839 7:-1 8:-1 
1 1:0 2:1 3:20 4:100.301 5:1.92901 6:92.1129 7:-1 8:-1 
1 1:1 2:3 3:17 4:-44.6316 5:0.912369 6:93.0253 7:-1 8:-1 
1 1:1 2:0 3:17 4:45.992 5:2.31699 6:95.3423 7:-1 8:-1 
1 1:1 2:12 3:5 4:6.95332 5:0.860985 6:96.2032 7:-1 8:-1 
1 1:1 2:1 3:6 4:-10.0668 5:1.44557 6:97.6488 7:-1 8:-1 
1 1:1 2:3 3:3 4:7.24667 5:4.03541 6:101.684 7:-1 8:-1 
1 1:1 2:1 3:2 4:1.57542 5:1.15083 6:102.835 7:-1 8:-1 
1 1:1 2:1 3:1 4:-1.9283 5:0.473274 6:102.362 7:-1 8:-1 
1 1:1 2:1 3:2 4:-5.30444 5:1.17342 6:103.535 7:-1 8:-1 
1 1:1 2:2 3:0 4:-0.912045 5:1.44399 6:102.091 7:-1 8:-1 
1 1:1.41421 2:0 3:0 4:-29.6462 5:3.50527 6:98.5859 7:8.24987 8:0.916652 
1 1:1 2:0 3:0 4:-4.65408 5:2.64236 6:95.9436 7:8.22041 8:0.913379 
1 1:3.16228 2:0 3:0 4:-2.48245 5:2.91711 6:98.8607 7:7.38335 8:0.922919 
1 1:0 2:0 3:0 4:-4.97718 5:0.881088 6:97.9796 7:7.42119 8:0.927648 
1 1:2.23607 2:0 3:0 4:1.06319 5:0.278633 6:97.701 7:7.44824 8:0.931029 
